,DateTime,Severity,EpochTime,ErrorType,Service,EndPoint,DataVal1,DataVal2,Content,UUID,EventId,EventTemplate
5597,2024-11-26 04:53:18.591,info,1732596798591,OK,user-service,list,2,,Users queried with success in 2ms,abb13228-371a-4c1a-adef-c93ee3233061,E1,Users queried with success in <*>
5598,2024-11-26 04:53:19.359,info,1732596799359,OK,admin-service,/user,139,,Users listed successfully from user-service in 139 ms,41c8bb43-37d9-4c90-b48d-43d0647116b1,E6,Users listed successfully from user-service in <*> ms
5599,2024-11-26 04:53:19.520,info,1732596799520,OK,purchase-service,list,1,,Purchases list fetched successfully from postgres database in 1 ms,6e1f91b2-bb41-4050-b71f-ebb8b90780a0,E2,Purchases list fetched successfully from postgres database in <*> ms
5600,2024-11-26 04:53:19.214,info,1732596799214,OK,admin-service,/purchase,323,,Purchases listed successfully from purchase-service in 323 ms,6559a3d2-b93d-4514-878b-35ba8faff5ca,E5,Purchases listed successfully from purchase-service in <*> ms
5601,2024-11-26 04:53:19.517,info,1732596799517,OK,admin-service,/product,2,,Products listed successfully from product-service in 2 ms,707c048f-512b-4c14-8986-90c8a337bdc2,E4,Products listed successfully from product-service in <*> ms
5602,2024-11-26 04:53:18.891,info,1732596798891,OK,purchase-service,list,0,,Purchases list fetched successfully from postgres database in 0 ms,e69584e6-fd5c-4733-aea7-3d93558b4d4e,E2,Purchases list fetched successfully from postgres database in <*> ms
5603,2024-11-26 04:53:18.888,info,1732596798888,OK,product-service,list,1,,Products fetched with success in 1 ms,65b8e44c-d9c0-45ff-bad5-05d1799f92ef,E3,Products fetched with success in <*> ms
5604,2024-11-26 04:53:18.730,info,1732596798730,OK,user-service,list,1,,Users queried with success in 1ms,42d72276-fc38-4612-bfde-a1217c929969,E1,Users queried with success in <*>
5605,2024-11-26 04:53:19.222,info,1732596799222,OK,user-service,list,2,,Users queried with success in 2ms,d3e2a011-71d4-4eea-ad7f-c86119a102ff,E1,Users queried with success in <*>
5606,2024-11-26 04:53:19.369,info,1732596799369,OK,user-service,list,3,,Users queried with success in 3ms,1275d617-b696-413b-9698-72a7b360013a,E1,Users queried with success in <*>
5607,2024-11-26 04:53:20.153,info,1732596800152,SVC_USER_REQ_DELAY,apigateway,/userslist,140,,Fetching users list took longer than expected (max=100ms): 140 ms,22e21cdd-a408-4228-bd25-2889c17eb9d5,E9,Fetching users list took longer than expected <*> <*> ms
5608,2024-11-26 04:53:19.510,info,1732596799510,SVC_USER_REQ_DELAY,apigateway,/userslist,144,,Fetching users list took longer than expected (max=100ms): 144 ms,1275d617-b696-413b-9698-72a7b360013a,E9,Fetching users list took longer than expected <*> <*> ms
5609,2024-11-26 04:53:19.869,info,1732596799869,OK,user-service,list,1,,Users queried with success in 1ms,26b09f95-46f4-4fa9-98a0-3b1152520001,E1,Users queried with success in <*>
5610,2024-11-26 04:53:20.014,info,1732596800014,OK,user-service,list,2,,Users queried with success in 2ms,22e21cdd-a408-4228-bd25-2889c17eb9d5,E1,Users queried with success in <*>
5611,2024-11-26 04:53:19.860,info,1732596799860,OK,admin-service,/purchase,341,,Purchases listed successfully from purchase-service in 341 ms,480dda7d-61fd-4d48-9815-0c40ace96dcb,E5,Purchases listed successfully from purchase-service in <*> ms
5612,2024-11-26 04:53:20.532,info,1732596800532,OK,user-service,list,1,,Users queried with success in 1ms,d8fbf66d-315d-4d8c-9cef-9ef0915e9a22,E1,Users queried with success in <*>
5613,2024-11-26 04:53:20.008,info,1732596800008,OK,admin-service,/user,141,,Users listed successfully from user-service in 141 ms,9713be70-8f52-491c-925e-0934226b56b8,E6,Users listed successfully from user-service in <*> ms
5614,2024-11-26 04:53:20.525,info,1732596800525,OK,admin-service,/purchase,362,,Purchases listed successfully from purchase-service in 362 ms,368332da-7cd6-4e5b-9c77-396decb3455f,E5,Purchases listed successfully from purchase-service in <*> ms
5615,2024-11-26 04:53:20.161,info,1732596800160,OK,product-service,list,1,,Products fetched with success in 1 ms,2bb91766-372e-4205-abdd-e5cf0d2e8b24,E3,Products fetched with success in <*> ms
5616,2024-11-26 04:53:20.162,info,1732596800162,OK,admin-service,/product,4,,Products listed successfully from product-service in 4 ms,a53e28e2-bc0f-42a8-8d5a-f4fae622df86,E4,Products listed successfully from product-service in <*> ms
5617,2024-11-26 04:53:20.164,info,1732596800164,OK,purchase-service,list,0,,Purchases list fetched successfully from postgres database in 0 ms,0a6cab21-285f-4887-8986-c7dd5601f5e6,E2,Purchases list fetched successfully from postgres database in <*> ms
5618,2024-11-26 04:53:20.807,info,1732596800807,SVC_USER_REQ_DELAY,apigateway,/userslist,140,,Fetching users list took longer than expected (max=100ms): 140 ms,7fe248dc-f3b3-4028-bdbf-6f2604693482,E9,Fetching users list took longer than expected <*> <*> ms
5619,2024-11-26 04:53:20.817,info,1732596800817,OK,purchase-service,list,1,,Purchases list fetched successfully from postgres database in 1 ms,00501de4-4c39-4806-8dbe-bf8a65422298,E2,Purchases list fetched successfully from postgres database in <*> ms
5620,2024-11-26 04:53:21.463,info,1732596801463,OK,admin-service,/product,2,,Products listed successfully from product-service in 2 ms,998a7b2c-859b-4e85-a596-afd01b4ad910,E4,Products listed successfully from product-service in <*> ms
5621,2024-11-26 04:53:21.160,info,1732596801160,OK,user-service,list,2,,Users queried with success in 2ms,c60b1cc6-36dd-4f53-95a6-ce84a77d669d,E1,Users queried with success in <*>
5622,2024-11-26 04:53:20.815,info,1732596800815,OK,admin-service,/product,3,,Products listed successfully from product-service in 3 ms,6dfa3458-c3da-4e1a-81a9-6ca47856d2db,E4,Products listed successfully from product-service in <*> ms
