,Date,Time,Severity,EpochTime,ErrorType,Service,EndPoint,DataVal1,DataVal2,Content,EventId,EventTemplate
49,2024-11-15,07:22:11.051,info,1731698531051,OK,apigateway,/userslist,6,,Users list fetched successfully from user-service in 6 ms,E1,Users list fetched successfully from user-service in <*> ms
50,2024-11-15,07:22:11.053,info,1731698531053,OK,apigateway,/userslist,6,,Users list fetched successfully from user-service in 6 ms,E1,Users list fetched successfully from user-service in <*> ms
51,2024-11-15,07:22:11.054,info,1731698531054,OK,apigateway,/userslist,4,,Users list fetched successfully from user-service in 4 ms,E1,Users list fetched successfully from user-service in <*> ms
52,2024-11-15,07:22:11.056,info,1731698531056,OK,apigateway,/userslist,3,,Users list fetched successfully from user-service in 3 ms,E1,Users list fetched successfully from user-service in <*> ms
53,2024-11-15,07:22:11.057,info,1731698531057,OK,apigateway,/userslist,2,,Users list fetched successfully from user-service in 2 ms,E1,Users list fetched successfully from user-service in <*> ms
54,2024-11-15,07:22:11.059,info,1731698531059,OK,apigateway,/userslist,2,,Users list fetched successfully from user-service in 2 ms,E1,Users list fetched successfully from user-service in <*> ms
55,2024-11-15,07:22:11.062,info,1731698531062,OK,apigateway,/userslist,4,,Users list fetched successfully from user-service in 4 ms,E1,Users list fetched successfully from user-service in <*> ms
56,2024-11-15,07:22:11.064,info,1731698531064,OK,apigateway,/userslist,4,,Users list fetched successfully from user-service in 4 ms,E1,Users list fetched successfully from user-service in <*> ms
57,2024-11-15,07:22:11.066,info,1731698531066,OK,apigateway,/userslist,5,,Users list fetched successfully from user-service in 5 ms,E1,Users list fetched successfully from user-service in <*> ms
58,2024-11-15,07:22:11.069,info,1731698531069,OK,apigateway,/userslist,8,,Users list fetched successfully from user-service in 8 ms,E1,Users list fetched successfully from user-service in <*> ms
59,2024-11-15,07:22:11.070,info,1731698531070,OK,apigateway,/userslist,7,,Users list fetched successfully from user-service in 7 ms,E1,Users list fetched successfully from user-service in <*> ms
60,2024-11-15,07:22:11.071,info,1731698531071,OK,apigateway,/userslist,7,,Users list fetched successfully from user-service in 7 ms,E1,Users list fetched successfully from user-service in <*> ms
61,2024-11-15,07:22:11.072,info,1731698531072,OK,apigateway,/userslist,7,,Users list fetched successfully from user-service in 7 ms,E1,Users list fetched successfully from user-service in <*> ms
62,2024-11-15,07:22:11.072,info,1731698531072,OK,apigateway,/userslist,5,,Users list fetched successfully from user-service in 5 ms,E1,Users list fetched successfully from user-service in <*> ms
63,2024-11-15,07:22:11.074,info,1731698531074,OK,apigateway,/userslist,6,,Users list fetched successfully from user-service in 6 ms,E1,Users list fetched successfully from user-service in <*> ms
64,2024-11-15,07:22:11.074,info,1731698531074,OK,apigateway,/userslist,3,,Users list fetched successfully from user-service in 3 ms,E1,Users list fetched successfully from user-service in <*> ms
65,2024-11-15,07:22:11.076,info,1731698531076,OK,apigateway,/userslist,3,,Users list fetched successfully from user-service in 3 ms,E1,Users list fetched successfully from user-service in <*> ms
66,2024-11-15,07:22:11.077,info,1731698531077,OK,apigateway,/userslist,2,,Users list fetched successfully from user-service in 2 ms,E1,Users list fetched successfully from user-service in <*> ms
67,2024-11-15,07:22:11.079,info,1731698531079,OK,apigateway,/userslist,3,,Users list fetched successfully from user-service in 3 ms,E1,Users list fetched successfully from user-service in <*> ms
68,2024-11-15,07:22:11.081,info,1731698531081,OK,apigateway,/userslist,3,,Users list fetched successfully from user-service in 3 ms,E1,Users list fetched successfully from user-service in <*> ms
69,2024-11-15,07:22:11.084,info,1731698531084,OK,apigateway,/userslist,4,,Users list fetched successfully from user-service in 4 ms,E1,Users list fetched successfully from user-service in <*> ms
